Sample ID,Type,Standoff,Spacing,AI,AV
DG-PCB001,both-rad,7.5,step,3.13822e-10,19.5034
DG-PCB001,both-rad,7.5,step,2.990989e-10,19.0035
DG-PCB001,both-rad,7.5,step,2.830716e-10,18.5036
DG-PCB001,both-rad,7.5,step,2.686009e-10,18.0035
DG-PCB001,both-rad,7.5,step,2.541722e-10,17.5036
DG-PCB001,both-rad,7.5,step,2.291849e-10,17.0037
DG-PCB001,both-rad,7.5,step,2.189207e-10,16.5038
DG-PCB001,both-rad,7.5,step,2.050389e-10,16.0037
DG-PCB001,both-rad,7.5,step,1.913674e-10,15.5039
DG-PCB001,both-rad,7.5,step,1.702081e-10,15.004
DG-PCB001,both-rad,7.5,step,1.623838e-10,14.5039
DG-PCB001,both-rad,7.5,step,1.529609e-10,14.0039
DG-PCB001,both-rad,7.5,step,1.282681e-10,13.5041
DG-PCB001,both-rad,7.5,step,1.16742e-10,13.0038
DG-PCB001,both-rad,7.5,step,1.006727e-10,12.5037
DG-PCB001,both-rad,7.5,step,9.2007e-11,12.0034
DG-PCB001,both-rad,7.5,step,7.21939e-11,11.503
DG-PCB001,both-rad,7.5,step,6.10884e-11,11.0026
DG-PCB001,both-rad,7.5,step,4.78376e-11,10.5023
DG-PCB001,both-rad,7.5,step,3.82465e-11,10.0021
DG-PCB001,both-rad,7.5,step,2.41122e-11,9.5017
DG-PCB001,both-rad,7.5,step,1.81388e-11,9.0015
DG-PCB001,both-rad,7.5,step,-6.65e-13,8.5012
DG-PCB001,both-rad,7.5,step,-1.96e-11,8.001
DG-PCB001,both-rad,7.5,step,-2.77e-11,7.5006
DG-PCB001,both-rad,7.5,step,-3.96e-11,7.0002
DG-PCB001,both-rad,7.5,step,-5.43e-11,6.5001
DG-PCB001,both-rad,7.5,step,-5.69e-11,6.0003
DG-PCB001,both-rad,7.5,step,-7.64e-11,5.5
DG-PCB001,both-rad,7.5,step,-8.61e-11,4.9998
DG-PCB001,both-rad,7.5,step,-9.65e-11,4.4995
DG-PCB001,both-rad,7.5,step,-9.94e-11,3.999
DG-PCB001,both-rad,7.5,step,-1.13e-10,3.4988
DG-PCB001,both-rad,7.5,step,-1.21e-10,2.9985
DG-PCB001,both-rad,7.5,step,-1.38e-10,2.4983
DG-PCB001,both-rad,7.5,step,-1.5e-10,2.0013
DG-PCB001,both-rad,7.5,step,-1.53e-10,1.5012
DG-PCB001,both-rad,7.5,step,-1.66e-10,1.0005
DG-PCB001,both-rad,7.5,step,-1.87e-10,0.5004281
